순위,언어,모국어,제2언어,전체
1,English,380000000,1077000000,1456000000
2,Mandarin Chinese,939000000,199000000,1138000000.0000002
3,Hindi,345000000,266000000,609000000
4,Spanish,485000000,74000000,559000000
5,French,81000000,229000000,310000000
6,Modern Standard Arabic,0,274000000,274000000
7,Bengali,234000000,39000000,273000000
8,Portuguese,236000000,27000000,264000000
9,Russian,147000000,108000000,255000000
10,Urdu,71000000,161000000,232000000
11,Indonesian,44000000,155000000,199000000
12,Standard German,75000000,58000000,133000000
13,Japanese,123000000,200000,123000000
14,Nigerian Pidgin,5000000,116000000,121000000
15,Egyptian Arabic,77000000,25000000,102000000
16,Marathi,83000000,16000000,99000000
17,Telugu,83000000,13000000,96000000
18,Turkish,84000000,6000000,90000000
19,Tamil,79000000,8000000,87000000
20,Yue Chinese,86000000,1000000,87000000
21,Vietnamese,85000000,1000000,86000000
22,Wu Chinese,83000000,100000,83000000
23,Tagalog,29000000,54000000,83000000
24,Korean,82000000,29000000000,82000000
25,Iranian Persian,57000000,21000000,79000000
26,Hausa,52000000,27000000,79000000
27,Swahili,16000000,55000000,72000000
28,Javanese,NA,33000000000,68000000
29,Italian,65000000,3000000,68000000
30,Western Punjabi,NA,35000000000,67000000
31,Gujarati,57000000,5000000,62000000
32,Thai,21000000,40000000,61000000
33,Kannada,44000000,15000000,59000000
34,Amharic,32000000,25000000,58000000
35,Bhojpuri,52000000,200000,52000000
36,Eastern Punjabi,48000000,4000000,52000000
37,Min Nan Chinese,50000000,400000,50000000
38,Jin Chinese,NA,43000000000,48000000
39,Levantine Arabic,47000000,400000,48000000
40,Yoruba,44000000,2000000,46000000
